col1,col2,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,AbsKmag,Kmag,r-K,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,ra_epoch2000,dec_epoch2000,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_xa
130.4495,20.38959,08414792+2023226,130.449687,20.389618,0.08,0.08,135,15.079,14.542,12.7457687903231,14.23,5.1357,0.04,0.049,0.061,AAA,222,0,2451106.0156,0.639021,132461304495508065,130.44949469,20.38958994,0.008,0.005,90,503635968,60,56225.90894676,10,84,20.6428,0.0332,20.7494,0.0432,115000,19.3657,0.0068,19.4357,0.0234,115000,17.6166,0.0043,17.6863,0.0056,115000,16.8126,0.0035,16.8776,0.0081,115000,16.4085,0.0051,16.4653,0.0155,115000,0.656754,130.4496549561326,20.3896405933045,0.006,0.004,90,661430705957076096,130.44948557913,0.2084,20.38958748961,0.1281,5.0484,0.2544,-36.874,0.39,-12.334,0.258,false,844.332,1.62997,18.372082,131.45,7.11215,20.054485,1252.66,8.0409,17.017338,3.037148,,,0,,,,,,0.135306
132.0008,20.40182,08480023+2024068,132.000999,20.401899,0.07,0.07,0,14.542,13.898,12.3687191979127,13.695,4.9766,0.032,0.043,0.041,AAA,222,0,2451493.9663,0.729207,132481320009002774,132.00084866,20.40182229,0.005,0.002,90,503635968,60,56053.86090278,20,65,19.9145,0.0198,20.0453,0.0463,115000,18.6716,0.0054,18.7505,0.0149,115000,17.015,0.0054,17.0814,0.0049,115000,16.241,0.0034,16.2929,0.0057,115000,15.8652,0.0042,15.9392,0.0121,115000,0.577571,132.0010185927936,20.4018792830058,0.005,0.003,90,661591475172494464,132.00083719527,0.1517,20.40181985302,0.0928,5.4293,0.229,-39.488,0.317,-13.803,0.172,false,1504.15,1.95672,17.745138,226.044,10.524,19.465906,2146.98,10.6235,16.432352,3.033554,,,0,,,,,,0.096999
132.0981,19.83655,08482357+1950117,132.098248,19.836599,0.07,0.06,90,13.721,13.126,11.5694038822895,12.842,4.4459,0.024,0.033,0.024,AAA,222,0,2451622.6557,0.531323,131801320981374419,132.09808856,19.83655708,0.006,0.004,0,503636096,60,55997.60041667,5,80,18.4309,0.007,18.5447,0.0085,115000,17.2879,0.0095,17.31,0.0106,115000,15.8409,0.0074,15.9287,0.004,115000,15.2315,0.0038,15.2875,0.0038,115000,14.8983,0.0094,14.9971,0.011,115000,0.56062,132.0982496626224,19.8366098285515,0.002,0.001,90,661488052360088704,132.09807573648,0.0738,19.83655328177,0.0464,5.5652,0.0961,-37.999,0.153,-13.133,0.094,false,4441.45,3.03744,16.569553,804.626,5.80996,18.087402,5830.03,21.9264,15.347744,2.739658,,,0,4412.27,,,,,0.039387
132.0052,19.82749,08480129+1949391,132.005381,19.827549,0.09,0.07,0,14.388,13.824,12.1457357620209,13.511,4.7572,0.034,0.045,0.039,AAA,222,0,2451493.9667,0.648728,131791320052723537,132.0052062,19.82749375,0.006,0.002,90,503635968,60,56211.59915509,5,71,19.4534,0.0132,19.496,0.0223,16892216,18.2682,0.0097,18.3295,0.0103,115000,16.7068,0.0039,16.7668,0.0029,115000,16.0097,0.0048,16.0607,0.0058,115000,15.6502,0.006,15.722,0.0161,115000,0.624496,132.0053661886971,19.827547156164,0.004,0.002,90,661490693763838976,132.00519713975,0.1198,19.8274909048,0.0727,5.3327,0.1752,-36.935,0.267,-13.065,0.152,false,1935.11,1.78684,17.4716,304.352,5.58294,19.142946,2682.24,15.0321,16.190674,2.952272,,,0,,,,,,0.050597
130.7103,20.33436,08425052+2020039,130.710514,20.334435,0.09,0.08,2,14.957,14.396,12.7641308327843,14.069,5.0875,0.042,0.055,0.056,AAA,222,0,2451109.9816,0.771198,132401307103731803,130.71033904,20.33435921,0.005,0.003,90,503635968,60,55935.98738426,10,63,20.3848,0.0672,20.6018,0.015,115000,19.1565,0.0087,19.2451,0.0137,115000,17.4582,0.0033,17.5364,0.0079,115000,16.6893,0.0045,16.7434,0.0057,115000,16.3006,0.0057,16.3683,0.0051,115000,0.650582,130.7104997646736,20.3344162665817,0.007,0.005,90,661438982357836544,130.7103313459,0.2366,20.33435567836,0.1761,5.4831,0.2846,-36.679,0.48,-14.072,0.336,false,962.7,1.52869,18.22964,138.314,8.26,19.999226,1404.29,7.35167,16.893276,3.105949,,,0,,,,,,0.082809
130.7103,19.91764,08425050+1955038,130.710435,19.917725,0.08,0.07,90,13.526,12.898,11.2466884116942,12.663,4.3104,0.026,0.031,0.026,AAA,222,0,2451109.982,0.549927,131901307103321743,130.71027526,19.91763999,0.009,0.002,0,503635968,60,55960.99552083,5,78,18.1567,0.0057,18.2514,0.0117,115000,16.9734,0.0031,17.058,0.0034,115000,15.6344,0.0031,15.7221,0.0042,115000,15.057,0.0073,15.109,0.0082,115000,14.7455,0.0046,14.7732,0.0044,115000,0.621271,130.7104326339888,19.9176908273475,0.002,0.001,90,661356488922418944,130.71026409233,0.0681,19.91763699421,0.0435,5.2088,0.0856,-36.804,0.145,-12.503,0.09,false,5416.17,3.35606,16.354136,1040.41,7.8111,17.80838,6928.18,12.9349,15.160372,2.648008,,,0,3679,0.6497,0.3255,,,0.123282
130.9657,19.91355,08435181+1954490,130.965893,19.913622,0.07,0.06,90,11.817,11.088,9.622,10.974,2.7298,0.022,0.021,0.018,AAA,222,0,2451109.9915,0.7028,131891309658216818,130.96573731,19.91355086,0.013,0.004,0,503635968,60,56020.27021991,5,65,14.797,0.002,14.8653,0.0034,115000,13.7038,0.004,13.7734,0.0015,115000,13.333,,,,114724,13.0144,0.0028,13.0579,0.0012,115000,12.8847,0.0013,12.9032,0.0015,115000,0.585908,130.9658935663675,19.9136052965444,0.001,0,90,661342710667273856,130.96572881609,0.0257,19.91354827057,0.0173,5.365,0.0364,-35.977,0.057,-13.245,0.032,false,61857.2,12.571,13.70989,22015.3,33.1479,14.494579,58080.9,42.5745,12.851836,1.642743,,,0,4282,0.3703,0.191,0.63,0.12,0.060163
130.8337,20.07381,08432013+2004258,130.833894,20.073851,0.08,0.07,0,14.754,14.172,12.5402914280257,13.884,5.0815,0.038,0.045,0.051,AAA,222,0,2451109.9854,0.672374,132081308338029129,130.8337514,20.07381161,0.008,0.004,90,503635968,60,55997.91806713,5,65,20.2342,0.0187,20.3724,0.0498,115000,18.9655,0.0048,19.0638,0.0147,115000,17.2701,0.0038,17.3554,0.0056,115000,16.4967,0.0048,16.5526,0.0053,115000,16.1228,0.0067,16.2055,0.02,115000,0.502593,130.8339129220888,20.073858527913,0.009,0.007,90,661383731898310016,130.83374411741,0.3144,20.0738079764,0.2401,5.3859,0.2493,-36.825,0.549,-11.741,0.478,false,1164.07,1.23577,18.023418,161.741,6.95158,19.829334,1682.95,8.23333,16.696741,3.132593,,,0,,,,,,0.069484
130.2418,20.21393,08405807+2012503,130.241998,20.213997,0.08,0.08,90,14.919,14.28,12.6865969618393,14.01,5.1948,0.038,0.066,0.06,AAA,222,0,2451106.006,0.711057,132251302418747293,130.241821,20.21393168,0.004,0.003,0,503635968,60,56074.20425926,5,76,20.5144,0.0249,20.6056,0.0303,115000,19.2048,0.0064,19.3151,0.0126,115000,17.4676,0.0067,17.5552,0.0076,115000,16.6523,0.0045,16.7124,0.0027,115000,16.2443,0.0036,16.3305,0.0064,115000,0.642531,130.2419809532464,20.2139861670498,0.006,0.004,90,661421939927520384,130.24181036401,0.1856,20.21392966466,0.107,5.4365,0.2246,-37.18,0.368,-13.123,0.228,false,964.113,1.76516,18.228046,161.328,13.8232,19.832113,1445.32,12.8062,16.862007,2.970106,,,0,,,,,,0.069551
130.8344,20.07927,08432029+2004456,130.834559,20.079334,0.08,0.07,0,14.456,13.808,12.1004652086078,13.565,4.8167,0.033,0.033,0.037,AAA,222,0,2451109.9854,0.584899,132091308344625692,130.83441479,20.07927411,0.004,0.002,90,503635968,60,56077.24829861,5,68,19.596,0.0119,19.7204,0.0249,115000,18.3817,0.0084,18.4668,0.0091,115000,16.7895,0.0025,16.8812,0.0039,115000,16.1022,0.0057,16.1474,0.0012,115000,15.7412,0.0079,15.7961,0.0093,115000,0.533141,130.8345766495229,20.0793295414928,0.005,0.003,90,661383770554619136,130.83440507531,0.1678,20.07927156687,0.115,5.0944,0.187,-37.427,0.325,-13.465,0.223,false,1777.24,1.43851,17.564,293.734,10.1211,19.181503,2482.94,10.5073,16.274506,2.906998,,,0,,,,,,0.061797
