   17.2019|11.8603|12.8037|10.9201| 1.8836

   17.7991| 8.8400| 9.2420| 8.3194| 0.9227

   22.2126|14.6979|16.4772|13.4193| 3.0579

   18.3681|15.2679|17.0760|13.9790| 3.0971

   22.4898|10.5727|11.3644| 9.7323| 1.6321

   22.0889|13.3366|14.8373|12.1409| 2.6963

   24.6316|12.0763|13.2776|11.0058| 2.2718

   16.8855|15.6134|17.6341|14.2520| 3.3820

   21.0978|13.5224|15.0352|12.3251| 2.7101

   18.3572|10.8525|11.5950|10.0427| 1.5524

   21.9147|15.6883|17.6676|14.3528| 3.3147

   22.7651|17.2777|19.9760|15.8129| 4.1632

   20.7947| 9.2771| 9.8175| 8.6209| 1.1966

   19.5708| 8.9230| 9.3497| 8.3711| 0.9786

   20.6594|16.3241|18.4598|14.9372| 3.5226

   22.8673|13.0174|14.4284|11.8586| 2.5698

   22.4864|15.0748|16.9617|13.7683| 3.1934

   22.4503|16.2750|18.7582|14.8244| 3.9338

   20.2298|13.8152|15.3551|12.6042| 2.7509

   22.8213|11.9711|13.1250|10.9285| 2.1965

   20.9248| 7.2738| 7.5675| 6.8676| 0.6998

   21.3737|13.0953|14.5613|11.9154| 2.6458

   21.8965| 8.8535| 9.3082| 8.2789| 1.0293

   22.0357| 4.7065| 4.8396| 4.6072| 0.2324

   18.7537|14.3259|15.9098|13.1013| 2.8084

   22.2089|11.2461|12.2158|10.3108| 1.9050

   20.8354| 3.3066| 3.6490| 3.2020| 0.4470

   23.6355|10.5021|11.3221| 9.6474| 1.6747

   23.9767|12.0865|13.2789|11.0233| 2.2556

   21.5608| 7.3548| 7.7229| 6.8722| 0.8506

   20.6427| 6.6838| 6.9301| 6.3379| 0.5922

   21.4764| 9.5990|10.1551| 8.9337| 1.2215

   28.0576|12.6837|14.2550|11.4686| 2.7864

   21.0257| 7.6933| 8.0151| 7.2529| 0.7621

   21.7788|16.3035|18.5312|14.9250| 3.6062

   28.9111|15.5536|17.6973|14.1841| 3.5132

   17.0072|16.1931|18.1832|14.8548| 3.3283

   20.8378|18.7664|21.2561|17.1309| 4.1252

   18.3419|16.4140|18.2686|15.0372| 3.2314

   17.7076|15.9656|17.9776|14.6196| 3.3580

   17.6029|13.4997|14.7118|12.4157| 2.2961

   22.3061|11.1834|12.1375|10.2551| 1.8824

   19.0632| 3.4155| 4.0635| 2.9031| 1.1604

   21.3170|10.6079|11.3820| 9.7768| 1.6053

   23.2618|13.3622|14.0302|12.4452| 1.5850

   21.4034| 9.6451|10.2214| 8.9637| 1.2577

   21.2748| 6.7800| 7.0349| 6.4244| 0.6105

   20.9537|14.0090|15.5559|12.7136| 2.8423
   19.9002|16.5810|

   21.8394| 8.7310| 9.1641| 8.1726| 0.9915

   21.4310| 7.6858| 8.0159| 7.2421| 0.7738

   23.5846|12.9261|14.3065|11.7790| 2.5274

   22.1438|10.3911|11.1389| 9.5808| 1.5581

   20.7705|15.6138|17.8486|14.2241| 3.6245

   17.9024|17.2526|19.9973|15.7456| 4.2517

   16.1600|16.0659|17.9970|14.7399| 3.2571

   16.7453|15.2682|17.0153|13.9947| 3.0206

   22.1067|13.1555|14.6449|11.9608| 2.6841

   16.7377|16.0668|17.9767|14.7483| 3.2284

   18.4194| 4.5552| 4.6765| 4.4652| 0.2113

   19.3507|13.7824|15.3073|12.5776| 2.7297

   17.0733|14.5690|16.2044|13.3290| 2.8754

   25.5525|16.8926|19.5330|15.4306| 4.1024

   28.0007|13.6292|15.3080|12.3810| 2.9269

   19.7777|13.7734|15.2836|12.5758| 2.7077

   28.8139|13.4404|15.0876|12.2012| 2.8864

